request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-12 22:14:42,2015-12-12 22:21:48,46.2154921,6.1463602,2015-12-12 22:30:54,46.197036,6.1419334,completed,CHF,uberX,14.12,1.83,9.08333333333,1.0
2015-12-12 22:52:34,2015-12-12 23:01:51,46.1790155,6.127675,2015-12-12 23:07:52,46.2008352,6.1297585,completed,CHF,uberX,13.55,2.02,6.01666666667,1.0
2015-12-12 23:11:08,2015-12-12 23:19:16,46.2012156,6.1382674,2015-12-12 23:31:19,46.2232169,6.1146103,completed,CHF,uberX,19.11,2.91,12.0333333333,1.0
2015-12-12 23:37:05,2015-12-12 23:44:51,46.2131435,6.1294823,2015-12-12 23:54:17,46.1986916,6.1560796,completed,CHF,uberX,22.31,2.0,9.45,1.5
2015-12-12 23:58:33,2015-12-13 0:07:30,46.1964615,6.1543891,2015-12-13 0:24:23,46.1654221,6.170973,completed,CHF,uberX,27.91,4.85,16.8833333333,1.0
2015-12-12 2:09:50,2015-12-12 2:11:08,46.2098687,6.150883,2015-12-12 2:19:46,46.1874881,6.1281232,completed,CHF,uberX,16.16,2.46,8.63333333333,1.0
2015-12-12 2:20:20,2015-12-12 2:23:37,46.1941181,6.1350399,2015-12-12 2:42:02,46.2546087,6.0678225,completed,CHF,uberX,38.94,7.79,18.4166666667,1.0
2015-12-12 2:59:00,2015-12-12 3:04:58,46.2031272,6.1344682,2015-12-12 3:15:59,46.201815,6.1731699,completed,CHF,uberX,17.54,2.58,11.0,1.0
2015-12-12 3:24:31,2015-12-12 3:27:16,46.2116094,6.1473697,2015-12-12 3:54:54,46.1871918,6.1043601,completed,CHF,uberX,42.28,7.69,27.6333333333,1.0
2015-12-12 4:08:21,,46.1873258,6.1109498,,46.1873459,6.11098,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-13 0:26:40,2015-12-13 0:30:29,46.1767337,6.1547386,2015-12-13 0:37:07,46.1928432,6.1457365,completed,CHF,uberX,12.3,1.59,6.63333333333,1.0
2015-12-13 0:50:51,2015-12-13 0:57:53,46.2030302,6.1454655,2015-12-13 1:11:45,46.1664513,6.1868223,completed,CHF,uberX,23.25,3.87,13.8666666667,1.0
